"target_tissue","target_clust","target_gene_symbol","endocrine","source_tissue","source_clust","cor","p","key_driver_FDR"
"LIV",98,"ACLY","C6","VAF",78,-0.20781964336502,2.5923225471452e-06,1.2441778011513e-18
"LIV",98,"HMGCR","C6","VAF",78,-0.207464236567975,2.6987075469935e-06,NA
"LIV",98,"PCSK9","C6","VAF",78,-0.199162327951448,6.76984429849709e-06,2.64487723879423e-17
"LIV",98,"TLCD1","C6","VAF",78,-0.191586148049543,1.51649617821218e-05,NA
"LIV",98,"NEK8","C6","VAF",78,-0.186941869376589,2.44853464042254e-05,NA
"LIV",98,"ACSS2","C6","VAF",78,-0.184428085046205,3.15814432152185e-05,1.51196304724992e-19
"LIV",98,"ALDOC","C6","VAF",78,-0.182268249173706,3.91946700847522e-05,NA
"LIV",98,"LSS","C6","VAF",78,-0.180773447011502,4.54476424870847e-05,2.15988612570114e-11
"LIV",98,"FDPS","C6","VAF",78,-0.178765155811305,5.5343805472177e-05,NA
"LIV",98,"RP4-639F20.1","C6","VAF",78,-0.176931308664292,6.61281706654336e-05,NA
"LIV",98,"RP5-821D11.7","C6","VAF",78,-0.176810689962846,6.69029027703032e-05,NA
"LIV",98,"MMAB","C6","VAF",78,-0.176552693965164,6.85888477766105e-05,NA
"LIV",98,"RP11-159F24.2","C6","VAF",78,-0.176414575140474,6.95078145435482e-05,NA
"LIV",98,"NPC1L1","C6","VAF",78,-0.175317593149537,7.72300550227285e-05,NA
"LIV",98,"C14orf1","C6","VAF",78,-0.17455114802308,8.30979000380603e-05,2.46883021079664e-40
"LIV",98,"MSMO1","C6","VAF",78,-0.17035629974823,0.00012339201421465,NA
"LIV",98,"C2orf82","C6","VAF",78,-0.16686485777856,0.00017027545886138,NA
"LIV",98,"RDH11","C6","VAF",78,-0.165403194778078,0.000194486148535696,NA
"LIV",98,"CTD-2235C13.3","C6","VAF",78,-0.162981932075468,0.000241809547051248,NA
"LIV",98,"ACAT2","C6","VAF",78,-0.160339610498499,0.000305629230981186,NA
"LIV",98,"AACS","C6","VAF",78,-0.159589703384337,0.00032642237725386,NA
"LIV",98,"CYP51A1","C6","VAF",78,-0.158310620087806,0.000364961415513354,NA
"LIV",98,"DHCR24","C6","VAF",78,-0.155746199263688,0.000455325747869047,NA
"LIV",98,"VPS37D","C6","VAF",78,-0.155204863291969,0.000476888333091677,NA
"LIV",98,"RP11-297N6.4","C6","VAF",78,-0.150495900496473,0.000708732710320998,NA
"LIV",98,"CYP51A1P2","C6","VAF",78,-0.149876516096501,0.000746021329156684,NA
"LIV",98,"TMEM97","C6","VAF",78,-0.137547925616221,0.0019887205539974,NA
"LIV",98,"TM7SF2","C6","VAF",78,-0.135825665853064,0.00226692676324323,NA
"LIV",98,"DHCR7","C6","VAF",78,-0.125286982168494,0.00489294211109818,NA
"LIV",98,"SCD","C6","VAF",78,-0.125100511149566,0.00495757943115507,7.00644105625394e-10
"LIV",98,"FLVCR1","C6","VAF",78,-0.123666496753186,0.00548095083350014,NA
"LIV",98,"EBP","C6","VAF",78,-0.121157181193512,0.00651753181008053,1.31030044084685e-32
"LIV",98,"AP001469.5","C6","VAF",78,-0.120491183013613,0.00682067033602638,NA
"LIV",98,"CETN2","C6","VAF",78,-0.119814170991429,0.00714170891436009,NA
"LIV",98,"MRPS27","C6","VAF",78,-0.11945823852042,0.0073158592597468,NA
"LIV",98,"TMEM55B","C6","VAF",78,-0.117133887957989,0.00854952489418137,NA
"LIV",98,"IDI2-AS1","C6","VAF",78,-0.109443230968294,0.0140559665440852,NA
"LIV",98,"AC144652.1","C6","VAF",78,-0.107354167500693,0.0160104474342749,NA
"LIV",98,"AK7","C6","VAF",78,-0.10405115285603,0.0195875015679977,NA
"LIV",98,"NPC1","C6","VAF",78,-0.103943869069165,0.0197145196950632,NA
"LIV",98,"SNAI3-AS1","C6","VAF",78,-0.102458979754247,0.0215475932468802,NA
"LIV",98,"SC5D","C6","VAF",78,-0.0864778212718639,0.0525863447795941,NA
